# XKCD color survey colors
# https://blog.xkcd.com/2010/05/03/color-survey-results/
snot green:                 #9dc100
light lime green:           #b9ff66
drab green:                 #749551
faded blue:                 #658cbb
dark forest green:          #002d04
hot purple:                 #cb00f5
dark maroon:                #3c0008
brown green:                #706c11
swamp green:                #748500
light indigo:               #6d5acf
purpley blue:               #5f34e7
lightish blue:              #3d7afd
teal blue:                  #01889f
denim blue:                 #3b5b92
dark lime green:            #7ebd01
dull yellow:                #eedc5b
pistachio:                  #c0fa8b
lemon yellow:               #fdff38
red violet:                 #9e0168
dusky pink:                 #cc7a8b
dirt:                       #8a6e45
very dark green:            #062e03
medium purple:              #9e43a2
shit:                       #7f5f00
dark mustard:               #a88905
pea soup green:             #94a617
bubblegum pink:             #fe83cc
barbie pink:                #fe46a5
military green:             #667c3e
pale teal:                  #82cbb2
bronze:                     #a87900
pinky red:                  #fc2647
dull red:                   #bb3f3f
darkish blue:               #014182
bluish:                     #2976bb
dark gold:                  #b59410
yellowy green:              #bff128
pine:                       #2b5d34
dark blue green:            #005249
dirty pink:                 #ca7b80
slate green:                #658d6d
prussian blue:              #004577
bright violet:              #ad0afd
lighter purple:             #a55af4
steel grey:                 #6f828a
russet:                     #a13905
vermillion:                 #f4320c
greyish brown:              #7a6a4f
red purple:                 #820747
red pink:                   #fa2a55
bright turquoise:           #0ffef9
golden brown:               #b27a01
cerulean blue:              #056eee
soft blue:                  #6488ea
easter green:               #8cfd7e
amber:                      #feb308
mid blue:                   #276ab3
shit brown:                 #7b5804
hospital green:             #9be5aa
purpleish blue:             #6140ef
purply blue:                #661aee
silver:                     #c5c9c7
sickly green:               #94b21c
melon:                      #ff7855
dusky rose:                 #ba6873
brown orange:               #b96902
darkish green:              #287c37
cranberry:                  #9e003a
purpleish:                  #98568d
ecru:                       #feffca
mocha:                      #9d7651
bright magenta:             #ff08e8
coffee:                     #a6814c
sepia:                      #985e2b
faded red:                  #d3494e
canary yellow:              #fffe40
bluey purple:               #6241c7
pastel yellow:              #fffe71
pale turquoise:             #a5fbd5
greyish pink:               #c88d94
marine:                     #042e60
purplish grey:              #7a687f
camel:                      #c69f59
brownish grey:              #86775f
burnt yellow:               #d5ab09
cherry red:                 #f7022a
orangey brown:              #b16002
soft pink:                  #fdb0c0
dark sea green:             #11875d
aqua marine:                #2ee8bb
robin egg blue:             #8af1fe
light sea green:            #98f6b0
mud brown:                  #60460f
sandstone:                  #c9ae74
british racing green:       #05480d
faded pink:                 #de9dac
maize:                      #f4d054
ocre:                       #c69c04
orange yellow:              #ffad01
dark khaki:                 #9b8f55
light lime:                 #aefd6c
bright light blue:          #26f7fd
jade green:                 #2baf6a
barney:                     #ac1db8
adobe:                      #bd6c48
minty green:                #0bf77d
light navy blue:            #2e5a88
dusty green:                #76a973
very dark blue:             #000133
ocean green:                #3d9973
mustard green:              #a8b504
poop brown:                 #7a5901
olive brown:                #645403
pink red:                   #f5054f
light navy:                 #155084
very light purple:          #f6cefc
ivory:                      #ffffcb
bright lavender:            #c760ff
bright aqua:                #0bf9ea
robin's egg:                #6dedfd
muted green:                #5fa052
medium brown:               #7f5112
copper:                     #b66325
dark lime:                  #84b701
strawberry:                 #fb2943
dirt brown:                 #836539
celery:                     #c1fd95
bright sky blue:            #02ccfe
poo brown:                  #885f01
pinkish brown:              #b17261
celadon:                    #befdb7
bright lime green:          #65fe08
auburn:                     #9a3001
shocking pink:              #fe02a2
mulberry:                   #920a4e
carolina blue:              #8ab8fe
lightish green:             #61e160
light lilac:                #edc8ff
pale olive:                 #b9cc81
pumpkin orange:             #fb7d07
yellow ochre:               #cb9d06
fire engine red:            #fe0002
deep sky blue:              #0d75f8
watermelon:                 #fd4659
bottle green:               #044a05
very dark purple:           #2a0134
wheat:                      #fbdd7e
murky green:                #6c7a0e
brownish purple:            #76424e
kermit green:               #5cb200
primary blue:               #0804f9
orangey red:                #fa4224
pale lilac:                 #e4cbff
rust red:                   #aa2704
dirty orange:               #c87606
pinkish grey:               #c8aca9
light plum:                 #9d5783
greeny blue:                #42b395
dark navy:                  #000435
pink/purple:                #ef1de7
irish green:                #019529
baby poop:                  #937c00
slime green:                #99cc04
purplish red:               #b0054b
rouge:                      #ab1239
light rose:                 #ffc5cb
drab:                       #828344
dark navy blue:             #00022e
light yellow green:         #ccfd7f
easter purple:              #c071fe
snot:                       #acbb0d
light salmon:               #fea993
purpley pink:               #c83cb9
poo:                        #8f7303
berry:                      #990f4b
medium grey:                #7d7f7c
brown red:                  #922b05
blood:                      #770001
soft purple:                #a66fb5
grey pink:                  #c3909b
bluey green:                #2bb179
midnight:                   #03012d
dark indigo:                #1f0954
warm grey:                  #978a84
sandy brown:                #c4a661
cherry:                     #cf0234
blue/purple:                #5a06ef
gunmetal:                   #536267
deep violet:                #490648
tree green:                 #2a7e19
orangish brown:             #b25f03
shamrock green:             #02c14d
orangish red:               #f43605
greeny yellow:              #c6f808
ugly yellow:                #d0c101
french blue:                #436bad
dusky purple:               #895b7b
butter yellow:              #fffd74
light beige:                #fffeb6
golden:                     #f5bf03
dusky blue:                 #475f94
lightblue:                  #7bc8f6
purply pink:                #f075e6
off green:                  #6ba353
ocher:                      #bf9b0c
milk chocolate:             #7f4e1e
light peach:                #ffd8b1
deep magenta:               #a0025c
caramel:                    #af6f09
greenish teal:              #32bf84
pale lime:                  #befd73
purple red:                 #990147
blueberry:                  #464196
asparagus:                  #77ab56
pale grey:                  #fdfdfe
light grey blue:            #9dbcd4
pale lime green:            #b1ff65
grassy green:               #419c03
mossy green:                #638b27
earth:                      #a2653e
deep orange:                #dc4d01
pale aqua:                  #b8ffeb
rose red:                   #be013c
stone:                      #ada587
rusty orange:               #cd5909
pea:                        #a4bf20
sick green:                 #9db92c
chestnut:                   #742802
blue/green:                 #0f9b8e
amethyst:                   #9b5fc0
dark mint green:            #20c073
pale rose:                  #fdc1c5
muted blue:                 #3b719f
fawn:                       #cfaf7b
buff:                       #fef69e
turquoise green:            #04f489
muddy brown:                #886806
sea:                        #3c9992
tomato:                     #ef4026
carnation pink:             #ff7fa7
banana:                     #ffff7e
neon yellow:                #cfff04
greyish:                    #a8a495
mid green:                  #50a747
muted purple:               #805b87
electric pink:              #ff0490
sandy:                      #f1da7a
ugly pink:                  #cd7584
turquoise blue:             #06b1c4
light burgundy:             #a8415b
greenish tan:               #bccb7a
dark mint:                  #48c072
light urple:                #b36ff6
midnight purple:            #280137
pinkish orange:             #ff724c
pear:                       #cbf85f
dark plum:                  #3f012c
tealish:                    #24bca8
perrywinkle:                #8f8ce7
yellowish orange:           #ffab0f
pastel orange:              #ff964f
iris:                       #6258c4
ultramarine blue:           #1805db
navy green:                 #35530a
seaweed:                    #18d17b
kiwi:                       #9cef43
fluro green:                #0aff02
bright light green:         #2dfe54
vivid green:                #2fef10
frog green:                 #58bc08
dull brown:                 #876e4b
dusk:                       #4e5481
mustard brown:              #ac7e04
leafy green:                #51b73b
cool blue:                  #4984b8
almost black:               #070d0d
yellow/green:               #c8fd3d
heliotrope:                 #d94ff5
green apple:                #5edc1f
baby poop green:            #8f9805
apple:                      #6ecb3c
purpleish pink:             #df4ec8
night blue:                 #040348
merlot:                     #730039
lightgreen:                 #76ff7b
tomato red:                 #ec2d01
key lime:                   #aeff6e
pale cyan:                  #b7fffa
vomit yellow:               #c7c10c
purplish brown:             #6b4247
bubblegum:                  #ff6cb5
shamrock:                   #01b44c
mango:                      #ffa62b
lime yellow:                #d0fe1d
hot green:                  #25ff29
grape purple:               #5d1451
faded orange:               #f0944d
avocado green:              #87a922
peacock blue:               #016795
weird green:                #3ae57f
bright lilac:               #c95efb
fern green:                 #548d44
dirty blue:                 #3f829d
rust orange:                #c45508
heather:                    #a484ac
deep teal:                  #00555a
dark seafoam:               #1fb57a
baby poo:                   #ab9004
yellowgreen:                #bbf90f
light sage:                 #bcecac
light aquamarine:           #7bfdc7
spearmint:                  #1ef876
bright lime:                #87fd05
vibrant green:              #0add08
very pale green:            #cffdbc
faded yellow:               #feff7f
bile:                       #b5c306
viridian:                   #1e9167
very light pink:            #fff4f2
puke brown:                 #947706
medium pink:                #f36196
ugly purple:                #a442a0
sunshine yellow:            #fffd37
seaweed green:              #35ad6b
light periwinkle:           #c1c6fc
lemon green:                #adf802
greeny brown:               #696006
dark grey blue:             #29465b
bright olive:               #9cbb04
turtle green:               #75b84f
pale sky blue:              #bdf6fe
light mustard:              #f7d560
diarrhea:                   #9f8303
dark aquamarine:            #017371
brownish pink:              #c27e79
baby shit green:            #889717
purpley:                    #8756e4
greyblue:                   #77a1b5
hot magenta:                #f504c9
blue/grey:                  #758da3
pale:                       #fff9d0
cool green:                 #33b864
sandy yellow:               #fdee73
eggshell blue:              #c4fff7
barf green:                 #94ac02
baby green:                 #8cff9e
vibrant purple:             #ad03de
brown grey:                 #8d8468
water blue:                 #0e87cc
lipstick red:               #c0022f
banana yellow:              #fafe4b
wisteria:                   #a87dc2
purple brown:               #673a3f
brown yellow:               #b29705
purple/pink:                #d725de
lemon lime:                 #bffe28
grey/blue:                  #647d8e
dusty red:                  #b9484e
deep rose:                  #c74767
dark seafoam green:         #3eaf76
muddy yellow:               #bfac05
